Name,Description,Type,Rating,Latitude,Longitude
Villa Abd-el-Tif,A historic villa that once hosted artists in residence now a center for cultural events.,Cultural Center,7.8,36.7469,3.0733
National Theatre Mahieddine Bachtarzi,A stunning performing arts venue located in a historic building.,Cultural Center,8.6,36.7812519,3.0600742
Safir Mosque,A historic mosque situated within the winding alleys of the Casbah.,Mosque,6.8,36.7833129,3.05753
Sidi Ramadan Mosque,Believed to be one of the oldest mosques in the Casbah area.,Mosque,6.5,36.7865243,3.0584051
Ali Bitchin Mosque,A 17th-century mosque built by an Italian convert with a fascinating backstory.,Mosque,7.5,36.7861,3.0617
El Barani Mosque,A beautiful historical mosque located near the entrance of the Casbah citadel.,Mosque,6.0,36.7844519,3.0557747
Ben Farès Mosque,Originally the Great Synagogue of Algiers before being converted into a mosque.,Historical Site,7.0,36.7839,3.0586
Ryadh El Feth,A vibrant commercial and cultural complex surrounding the Martyrs' Memorial.,Cultural Center,7.5,36.7444,3.0697
Central Post Office Square,The lively area surrounding La Grande Poste full of cafes and local life.,Square/Plaza,8.5,36.7728,3.0588
Hydra Square,The upscale center of the Hydra district known for chic cafes and restaurants.,Square/Plaza,8.2,36.7461,3.0289
El Kettani Beach,A popular urban beach located in the Bab El Oued neighborhood.,Beach,4.5,36.7925,3.0536
Bouchaoui Forest,A dense and highly popular forest area used by locals for jogging and picnics.,Park/Forest,8.6,36.7597514,2.9132367
Bainem Forest,The largest forest in the Algiers province offering excellent hiking trails.,Park/Forest,8.8,36.7965031,2.9691428
Casbah Citadel,The ruined upper fortress that originally protected the old city.,Historical Site,6.5,36.7844,3.0558
Bab Azzoun Street,A famous historic shopping street lined with French-colonial arcades.,Historical Site,6.5,36.7819,3.0603
Didouche Mourad Street,The vibrant commercial artery of Algiers featuring stunning Haussmannian architecture.,Historical Site,8.7,36.7625697,3.0437059
Audin Square,A central and busy intersection famous for its bookstores and student life.,Square/Plaza,8.0,36.7700561,3.0553706
Algiers Opera House,A modern state-of-the-art venue hosting symphonies and theatrical performances.,Cultural Center,9.0,36.7328,2.9247
National Library of Algeria,A massive cultural institution with extensive archives overlooking the bay.,Cultural Center,8.5,36.7484164,3.0719156
Monument to the Dead of Algiers,A solemn monument paying tribute to those who lost their lives in World War I.,Monument,5.8,36.7730,3.0550
Grotte de Cervantes,The cave where the famous Spanish author Miguel de Cervantes hid during his captivity.,Historical Site,4.2,36.7481,3.0675
Djemila Boulevard,A scenic coastal road offering some of the best sunset views in the city.,Historical Site,7.8,36.7960,2.8910
El Kettar Cemetery,A historic tiered cemetery offering profound insight into the city's past and amazing sea views.,Historical Site,5.5,36.7857854,3.049501
Garden City Mall,A beautifully designed modern open-air shopping and lifestyle center located in Cheraga.,Shopping/Mall,8.8,36.7599,2.9610
Ardis Mall,A massive commercial center featuring retail stores a hypermarket and a waterfront promenade.,Shopping/Mall,7.6,36.7367,3.1542
Bab Ezzouar Mall,One of the largest and most popular enclosed shopping and entertainment centers in Algiers.,Shopping/Mall,8.5,36.7212,3.1818
