name,Latitude,Longitude,Description,Image_URL,Category,Rating
National Museum of Antiquities and Islamic Art,36.7614767,3.0459848,"The National Museum of Antiquities and Islamic Art (French: Musée National des Antiquités et des Arts Islamiques) is an art museum in Algiers, Algeria.",No image available,Other Landmark,
Ali La Pointe Stadium,36.6817135,2.9617141,"Ali La Pointe Stadium (Arabic: ملعب علي لابوانت), is a 40,000-capacity stadium in Douéra, Algeria, a suburb of Algiers. It is expected to serve as the home stadium of MC Alger.",No image available,Other Landmark,
Port Saïd Square,36.7809168,3.06125,"Port Said Square is a historic square in Algiers, Algeria, named after the Suez Canal's Port Said. It is a popular gathering place and a symbol of the city's rich history.",No image available,Historic Square,4.2
International Conference Center Abdelatif Rahal,36.7698201,2.8940427,"The International Conference Center Abdelatif Rahal is a modern conference center located in Algiers, Algeria, hosting various international events and conferences. It is a prominent landmark in the city's skyline.",No image available,Convention Center,4.2
Cervantes Institute,36.7677945,3.0547913,"Instituto Cervantes (Spanish: [instiˈtuto θerˈβantes], the Cervantes Institute) is a worldwide nonprofit organization created by the Spanish government in 1991. It is named after Miguel de Cervantes (1547–1616), the author of Don Quixote and perhaps the most important figure in the history of Spanish literature. The Cervantes Institute is the largest organization in the world responsible for promoting the study and the teaching of Spanish language and culture.",No image available,Other Landmark,
Tifariti Garden,36.7647945,3.042367,"The Tifariti Garden is a beautiful and peaceful oasis in the heart of Algiers, offering a serene escape from the bustling city. This garden is a popular spot for locals and tourists alike to relax and enjoy nature.",No image available,Park,4.2
Les Sablettes,36.7459321,3.104403,"Anse de Sablettes is a fortified bay near Toulon in France, immediately to the south of the port entrance. It was the site of the Battle of Sablettes, a 1759 battle of the Seven Years' War.",No image available,Other Landmark,
Ali la Pointe Museum,36.7833518,3.0586752,"The Ali la Pointe Museum is a museum located in the Casbah of Algiers, dedicated to the life and legacy of Emir Abdelkader and the Algerian struggle for independence. The museum showcases a collection of artifacts and exhibits that highlight the history and culture of Algeria.",No image available,Museum,4.2
Palace of the Dey,36.7845463,3.055111,"Palace of the Dey (Arabic: قصر الداي), also known as Algiers Castle (Arabic: قلعة الجزائر), is an Ottoman era palace in the city of Algiers, Algeria. Completed in the 16th century, it is situated inside the Casbah of Algiers, and settled by successive deys of the city. It once was the second largest palace in the Ottoman Empire, next to Topkapi Palace in Istanbul.",No image available,Other Landmark,
Museum of Modern Art of Algiers,36.7773404,3.0576101,The Museum of Modern Art of Algiers (MaMa) is an art museum in Algiers. It was inaugurated in 2007.,No image available,Other Landmark,
La Vigie Alger,36.8124204,3.0216298,"La Vigie Alger is a historic lighthouse located in Algiers, Algeria, offering stunning views of the city and the Mediterranean Sea. It was built in 1847 and is a significant landmark in the city's history.",No image available,Monument,4.2
Dar Aziza,36.7850529,3.0615164,"Dar Aziza is a 16th-century Moorish palace located in the Casbah of Algiers in Algeria. Today, it houses the National Agency of Archaeology and Protection of Historic Sites and Monuments. Dar Aziza, arguably the most iconic surviving building of its era in Algiers, was part of a large governmental compound known as Janina Palace, which existed before the arrival of Turkish corsairs.",No image available,Other Landmark,
Prague Garden,36.7892027,3.0594348,"The Prague Garden is a beautiful and historic botanical garden located in the heart of Algiers, featuring a wide variety of plants and flowers. It's a peaceful oasis in the midst of the bustling city.",No image available,Park,4.2
Ben Aknoun Forest,36.7581529,2.9997174,"Ben Aknoun Forest is a forest situated in Ben Aknoun, within the Algiers province of Algeria. The forest is managed by the Forest Conservation Authority of Algiers and operates under the supervision of the General Directorate of Forests.",No image available,Other Landmark,
Ferhani Stadium,36.7954747,3.0524809,"Ferhani Stadium is a multi-purpose stadium located in Algiers, Algeria, primarily used for football matches. It has a seating capacity of approximately 50,000 spectators.",No image available,Stadium,4.2
Musée de Tamentfoust - Le Fort Turc,36.8072168,3.2309066,"The Musée de Tamentfoust - Le Fort Turc is a historic fort and museum located in Tamentfoust, Algiers, Algeria. It showcases the history and culture of the region, with exhibits on the Ottoman Empire's presence in Algeria.",No image available,Museum,4.2
Bab Dzira,36.7863793,3.0653442,"Bab Dzira (in Arabic: باب الدزيرة), also known as Bab El Dzira, was one of the Gates of the Casbah of Algiers, opening onto the sea along the city’s waterfront. It was among the historic city gates of Algiers.  ",No image available,Other Landmark,
Al-Fath Mosque,36.7080677,2.9141972,"The Al-Fath Mosque (Arabic: مسجد الفتح) is a mosque located in the Ramses Square of  Downtown Cairo, Egypt. Completed in 1990, it is one of the largest mosques in the city. The mosque's 130-metre-tall (430 ft) minaret is the tallest in Cairo and the third tallest minaret in the world. ",No image available,Mosque,
Stadium Baba Hassen,36.6937437,2.971276,"Stadium Baba Hassen is a multi-purpose stadium located in Algiers, Algeria, and is primarily used for football matches. It has a seating capacity of approximately 50,000 spectators.",No image available,Stadium,4.2
Olof Palme Garden,36.7415281,3.0307678,"The Olof Palme Garden is a beautiful park located in Algiers, Algeria, named after the Swedish Prime Minister who was assassinated in 1986. The park is a peaceful oasis in the heart of the city, offering stunning views of the Mediterranean Sea.",No image available,Park,4.2
Bazita,36.7899448,3.0470054,Bazita is a historic neighborhood in Algiers known for its narrow streets and traditional architecture. It's a popular area for tourists to explore and experience the city's rich history and culture.,No image available,Historic Neighborhood,4.2
Ben Aknoun d'attraction,36.733906,3.0251625,Ben Aknoun is a popular neighborhood in Algiers known for its vibrant markets and historic architecture. It's a great place to experience the local culture and try traditional Algerian cuisine.,No image available,Local Attraction,4.2
Al-Rahma Mosque,36.7895151,2.9085474,"The Al-Rahma Mosque (Arabic: مسجد الرحمة, romanized: Masjid ar-Raḥmah, lit. 'Mosque of Mercy') is a Sunni mosque located on Hatherley Street in Toxteth, Liverpool, England, in the United Kingdom. The mosque can accommodate between 2,000 and 2,500 worshippers and serves as the main place of worship and focus point for Liverpool's Muslim population, which numbered over 25,000 in the 2021 United Kingdom census.",No image available,Mosque,
Maison Diocésaine,36.7593297,3.0308489,The Maison Diocésaine is a historic building that serves as the headquarters of the Roman Catholic Archdiocese of Algiers. It is a beautiful example of French colonial architecture.,No image available,Historic Building,4.2
Jorf,36.7211805,3.1769649,"Jorf is a city in Errachidia Province, Drâa-Tafilalet, Morocco. It is divided into several districts: El Mounkara, Jorf-Center, El Achouria, Oualad Ghanem, Oulad moussa, and Erramlia. According to the 2004 census it has a population of 12,135.",No image available,Other Landmark,
Dar Hassan Pacha,36.7852733,3.0610256,"Dar Hassan Pacha is an 18th-century palace located in the Casbah of Algiers, Algeria. It was built in 1791 and used to belong to Hassan III Pasha, who signed a treaty with the US September 5, 1795. After 1830, it became the winter residence of the French Governor of Algiers, and was completely remodelled in 1839, when the entrance was changed and a new façade was added.",No image available,Other Landmark,
Cinematheque,36.7774361,3.05813,"A cinematheque is an archive of films and film-related objects with an exhibition venue. Similarly to a book library (bibliothèque in French), a cinematheque is responsible for preserving and making available to the public film heritage. Typically, a cinematheque has at least one motion picture theatre, which offers screenings of its collections and other international films.",No image available,Other Landmark,
Mosqué Ennour,36.7180586,3.0279366,"The Ennour Mosque is a historic mosque in Algiers, Algeria, known for its beautiful architecture and stunning views of the city. It was built in the 17th century and is one of the oldest mosques in Algiers.",No image available,Historic Mosque,4.2
Palm-Beach,36.7445354,2.8469058,"Palm-Beach is a popular beach in Algiers, known for its scenic views and lively atmosphere. Visitors can enjoy swimming, sunbathing, and water sports in the Mediterranean Sea.",No image available,Beach,4.2
Bab Ezzouar Park,36.7131138,3.2019039,"Bab Ezzouar Park is a large public park located in the Bab Ezzouar district of Algiers, offering a peaceful escape from the city. The park features walking trails, gardens, and a variety of recreational activities.",No image available,Park,4.2
Al-Fath Mosque,36.7080677,2.9141972,"The Al-Fath Mosque (Arabic: مسجد الفتح) is a mosque located in the Ramses Square of  Downtown Cairo, Egypt. Completed in 1990, it is one of the largest mosques in the city. The mosque's 130-metre-tall (430 ft) minaret is the tallest in Cairo and the third tallest minaret in the world. ",No image available,Mosque,
Stade El Hamiz,36.7257176,3.2377321,"Stade El Hamiz is a multi-use stadium in Algiers, Algeria, used primarily for football matches. It has a seating capacity of 10,000 spectators.",No image available,Stadium,4.0
Marina Palm,36.7922609,3.2355612,"Marina Palm is a popular marina in Algiers, offering stunning views of the Mediterranean Sea and a variety of water sports and activities. It's a great spot for both locals and tourists to relax and enjoy the beautiful Algerian coastline.",No image available,Beach,4.2
Plage Sidi Fredj,36.7611588,2.8482366,"Plage Sidi Fredj is a popular beach in Algiers, Algeria, known for its scenic views and calm waters. It's a favorite spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
Azur beach,36.7365397,2.8409594,"Azur Beach is a popular beach in Algiers, known for its clear waters and scenic views. It's a favorite spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
OXYGÉN ARENA,36.7666751,2.9130656,"Oxygène Arena is a popular indoor arena located in Algiers, Algeria, hosting various events such as concerts, sports, and exhibitions. It is a modern entertainment venue that offers a unique experience for visitors.",No image available,Concert Hall,4.2
Zeralda Beach,36.7162454,2.868799,"Zeralda Beach is a popular beach in Algiers, Algeria, known for its scenic views and calm waters. It's a favorite spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
Plage Ouest,36.7608147,2.8412713,"Plage Ouest is a popular beach in Algiers, Algeria, known for its scenic views and lively atmosphere. Visitors can enjoy swimming, sunbathing, and water sports in the Mediterranean Sea.",No image available,Beach,4.2
Rouiba Stadium,36.7452556,3.2784765,"Rouiba Stadium is a multi-use stadium in Rouiba, Algeria, used primarily for football matches. It has a seating capacity of approximately 40,000 spectators.",No image available,Stadium,4.0
club des pins staoueli,36.7685735,2.8843353,"The Club des Pins is a popular beach resort located in Staoueli, Algiers, known for its beautiful beaches and scenic views. It's a favorite spot for locals and tourists alike to relax and enjoy the Mediterranean Sea.",No image available,Beach,4.2
meftah,36.6956696,3.1644293,Meftah (meaning key in Arabic) may refer to:,No image available,Other Landmark,
مسجد بلال بن رباح,36.7252615,3.1873879,"Rachel's Tomb (Biblical Hebrew: קְבֻרַת רָחֵל Qǝbūrat Rāḥēl; Modern Hebrew: קבר רחל Qever Raḥel; Arabic: قبر راحيل Qabr Rāḥīl)  is a site revered as the burial place of the Biblical matriarch Rachel. The site is also referred to as the Bilal bin Rabah mosque (Arabic: مسجد بلال بن رباح). The tomb is held in esteem by Jews, Christians, and Muslims. The tomb, located at the northern entrance to the West Bank city of Bethlehem, next to the Rachel's Tomb checkpoint, is built in the style of a traditional maqam, Arabic for shrine.",No image available,Mosque,
OPLA,36.7852543,3.0646668,OPLA may refer to:,No image available,Other Landmark,
Zioui brothers stadium,36.7438963,3.0918423,"Zioui brothers stadium is a multi-use stadium located in Algiers, Algeria, and is primarily used for football matches. It has a seating capacity of approximately 10,000 spectators.",No image available,Stadium,6.2
Smile park,36.7374947,3.2805235,"Smile Park is a popular public park in Algiers, Algeria, known for its beautiful gardens and recreational activities. It's a great place for families and nature lovers to relax and enjoy the outdoors.",No image available,Park,4.2
PALACE OF NATIONS,36.7700211,2.8853954,"The Palace of Nations is a historic building in Algiers, Algeria, that served as the seat of the French Resident-General in Algeria from 1909 to 1962. Today, it houses the Algerian Senate and is a prominent landmark in the city.",No image available,Historic Building,4.2
Khaled ibn El Walid,36.6553449,3.1769086,"Khaled ibn El Walid is a historic mosque located in the Casbah of Algiers, Algeria. It is one of the oldest mosques in the city and a significant example of Ottoman architecture.",No image available,Historic Mosque,4.2
BILLARD BOWLING LOUNGE,36.7117774,3.1963616,"The Billard Bowling Lounge is a popular entertainment venue in Algiers that offers bowling, billiards, and other recreational activities. It's a great place to spend time with friends and family.",No image available,Local Attraction,4.2
Salle Omnisports de Cheraga,36.7640007,2.9252914,"Salle Omnisports de Cheraga is a multi-purpose sports hall located in Cheraga, Algiers, Algeria. It hosts various sports events and activities.",No image available,Sports Venue,4.0
Bloc 300 - 400,36.7109473,3.1810507,"Bloc 300-400 is a historic neighborhood in Algiers, known for its colonial-era architecture and vibrant cultural scene. The area is home to many shops, cafes, and restaurants, making it a popular destination for tourists and locals alike.",No image available,Neighborhood,4.2
Club Tennis Hydra,36.7456632,3.0394072,"Club Tennis Hydra is a popular tennis club in Algiers, Algeria, known for its well-maintained courts and scenic views. It's a great spot for tennis enthusiasts and those looking for a relaxing day out.",No image available,Sports Facility,4.2
La Rue Didouche Mourad,36.7709283,3.0554782,"La Rue Didouche Mourad is a historic street in Algiers, Algeria, known for its beautiful architecture and lively atmosphere. The street is a popular destination for shopping, dining, and entertainment.",No image available,Local Attraction,4.2
Oued El Harrach,36.536671,3.0606495,"The Wadi El Harrach is an Algerian river that originates in the Bliden, Atlas Mountains near Hammam Melouane. It is 67 kilometres (42 mi) long and flows into the Mediterranean, right in the middle of the bay of Algiers.",No image available,Other Landmark,
Céleste,36.7958701,3.0350258,Celeste may refer to:,No image available,Other Landmark,
Staoueli Stadium,36.7546387,2.8857115,"Staoueli Stadium is a multi-use stadium located in Staoueli, Algiers, Algeria. It is primarily used for football matches and has a seating capacity of approximately 10,000 spectators.",No image available,Stadium,4.2
100% DZ,36.7729333,3.0588445,100% DZ is a popular nightclub in Algiers that hosts various events and concerts. It's known for its lively atmosphere and diverse music selection.,No image available,Nightclub,4.2
Zeralda Forest,36.7120351,2.8642932,"Zeralda Forest is a forest located in Zeralda, in the Mitidja region of Algiers Province. It is managed by the Forest Conservation Authority of Algiers (CFA), which operates under the supervision of the General Directorate of Forests (DGF).",No image available,Other Landmark,
Djenane El Mithak,36.7639027,3.0374096,"Djenane El Mithak is a historic neighborhood in Algiers, known for its narrow streets and traditional architecture. It is a popular destination for those interested in exploring the city's rich cultural heritage.",No image available,Historic Neighborhood,4.2
Fontaine fraîche,36.7801156,3.0460719,"The Fontaine fraîche is a historic fountain in Algiers, Algeria, known for its beautiful architecture and historical significance. It was built in the 19th century and is a popular tourist destination.",No image available,Historic Landmark,4.2
Centre Culturel Ali Maachi,36.7910825,3.2477073,"The Centre Culturel Ali Maachi is a cultural center in Algiers, Algeria, named after the Algerian writer and intellectual Ali Maachi. It hosts various cultural events, exhibitions, and performances throughout the year.",No image available,Cultural Center,4.2
Parc Bentalha,36.6488105,3.0655671,"Parc Bentalha is a large public park in Algiers, Algeria, providing a peaceful escape from the city. The park features walking trails, gardens, and recreational facilities.",No image available,Park,4.2
Parc,36.7447477,3.0041538,PARC or Parc may refer to:,No image available,Other Landmark,
Omar ibn al-Khattab Mosque,36.7245836,2.8916409,"The Mosque of Umar ibn al-Khattab (Arabic: مسجد عمر بن الخطاب) is a Sunni Islam mosque, located within the historic city of Dumat al-Jandal in the Al Jawf Province of Saudi Arabia. The mosque is named after the Rashidun caliph Umar ibn al-Khattab, who is believed to have constructed the mosque, although this claim has been contested. The mosque's minaret is the first of its kind to be built in North Arabia as well.",No image available,Mosque,
Notre Dame d'Afrique Viewpoint,36.8009649,3.0432768,"Notre Dame d'Afrique Viewpoint is a scenic viewpoint located in Algiers, offering breathtaking views of the Mediterranean Sea and the city's coastline. It is a popular spot for tourists and locals alike to take in the stunning views and enjoy the local culture.",No image available,Viewpoint,4.2
Piscine,36.7312554,2.8387425,Piscine: pertaining to fish.,No image available,Other Landmark,
Stade De Bouzareah,36.7981868,3.0001441,"Stade de Bouzareah is a multi-use stadium in Algiers, Algeria. It is primarily used for football matches and has a seating capacity of over 10,000 spectators.",No image available,Stadium,4.0
Telemly Alger centre,36.7625697,3.0437059,"Telemly Alger centre is a shopping mall located in the heart of Algiers, offering a wide range of stores and dining options. It's a popular destination for locals and tourists alike.",No image available,Shopping Mall,4.2
National Library,36.7484164,3.0719156,"A national library is a library established by a government as a country's preeminent repository of information. Unlike public libraries, these rarely allow citizens to borrow books. Often, they include numerous rare, valuable, or significant works. A national library is that library which has the duty of collecting and preserving the literature of the nation within and outside the country. Thus, national libraries are those libraries whose community is the nation at large. Examples include the British Library in London, and the Bibliothèque nationale de France in Paris.",No image available,Other Landmark,
La pêcherie d'alger,36.7848428,3.0660517,"La pêcherie d'alger is a historic fishing port in Algiers, Algeria, known for its picturesque views and bustling atmosphere. It's a popular spot for locals and tourists alike to enjoy fresh seafood and take in the sights.",No image available,Local Attraction,4.2
Resistance Square,36.7633395,3.0593522,"A historic square in the Casbah of Algiers, Algeria, that commemorates the Algerian struggle for independence. It is a popular tourist destination and a symbol of the country's rich history.",No image available,Historic Square,4.7
Aïn Zeboudja Stadium,36.7698673,3.0437978,"Aïn Zeboudja Stadium is a multi-use stadium located in Algiers, Algeria. It is primarily used for football matches and is the home stadium of MC Alger.",No image available,Stadium,4.2
Atlas Forest,36.7510714,3.045591,"The Atlas Forest is a dense and diverse forest located in the Atlas Mountains, offering scenic hiking trails and opportunities to spot local wildlife. The forest is a popular destination for nature lovers and adventure seekers.",No image available,Park,4.2
Fort Turc,36.8072168,3.2309066,"Fort Turc is a 16th-century Ottoman fort located on the Casbah's eastern side, overlooking the Mediterranean Sea. It was built by the Ottoman Empire to protect the city from pirate attacks.",No image available,Historic Fort,4.2
Stade Tchoupina,36.7151281,3.1146619,"Stade Tchoupina is a historic stadium in Algiers, Algeria, known for its rich football history and cultural significance. The stadium was built in 1921 and has hosted various international football matches.",No image available,Stadium,4.2
Forêt de Beaulieu,36.7117689,3.1658769,"The Forêt de Beaulieu is a large forest located in the north of Algiers, offering a peaceful escape from the city. It is a popular destination for hiking and picnicking.",No image available,Park,4.2
Moulahoum,36.7198278,2.9296568,Moulahoum is a historic neighborhood in Algiers known for its narrow streets and traditional architecture. It is a popular destination for tourists looking to experience the city's rich history and culture.,No image available,Historic Neighborhood,4.2
Cap Caxine,36.8127775,2.9539253,Cap Caxine is a cape located in Algeria.,No image available,Other Landmark,
Balcon saint raphael,36.7673442,3.039005,"The Balcon du Phare de Saint-Raphaël is a scenic viewpoint in Algiers, offering stunning views of the Mediterranean Sea and the city's coastline. It is a popular spot for tourists and locals alike to take in the breathtaking views and enjoy the sea breeze.",No image available,Viewpoint,4.2
Piscine municipale,36.7447753,3.077754,"Piscine municipale is a public swimming pool located in Algiers, Algeria, offering a recreational space for locals and tourists alike. The pool is a popular spot for swimming and relaxation during the warmer months.",No image available,Park,4.2
Stade daly Brahim,36.7595143,2.9952724,"Stade 5 Juillet 1962, also known as Stade d'Algier, is a multi-purpose stadium in Algiers, Algeria. It is the home stadium of the Algeria national football team.",No image available,Stadium,4.2
Parc Des Pins,36.7671506,3.0289435,"Parc Des Pins is a large public park in Algiers, Algeria, known for its beautiful gardens and walking paths. It's a popular spot for recreation and relaxation.",No image available,Park,4.2
football stadium,36.7108612,3.1755091,"A stadium (pl.: stadiums or stadia) is a place or venue for (mostly) outdoor sports, concerts, or other events and consists of a field or stage completely or partially surrounded by a tiered structure designed to allow spectators to stand or sit and view the event. Pausanias noted that for about half a century the only event at the ancient Greek Olympic festival was the race that comprised one length of the stadion at Olympia, where the word ""stadium"" originated. Most of the stadiums with a capacity of at least 10,000 are used for association football. Other popular stadium sports include gridiron football, baseball, cricket, the various codes of rugby, field lacrosse, bandy, and bullfighting. Many large sports venues are also used for concerts.",No image available,Other Landmark,
Stade Bab Ezzouar,36.7177532,3.2011865,"Stade Bab Ezzouar is a multi-purpose stadium in Algiers, Algeria, used primarily for football matches. It has a seating capacity of 80,000 and hosted several international football matches.",No image available,Stadium,4.2
Kettani,36.7922769,3.0575013,"The Kettani Mosque is a historic mosque located in the Casbah of Algiers, Algeria. It is known for its beautiful architecture and stunning views of the city.",No image available,Historic Mosque,4.2
mosque,36.7850951,3.0607434,"A mosque ( MOSK), also called a masjid ( MASS-jid, MUSS-), is a place of worship for Muslims. The term usually refers to a covered building, but can be any place where Islamic prayers are performed; such as an outdoor courtyard.",No image available,Mosque,
Casbah,36.7844706,3.0578458,"A kasbah (, also US: ; Arabic: قصبة, romanized: qaṣaba, lit. 'fortress', Arabic pronunciation: [qasˤaba], Maghrebi Arabic: [qasˤba]), also spelled qasbah, qasba, qasaba, or casbah, is a fortress, most commonly the citadel or fortified quarter of a city. It is also equivalent to the term alcazaba in Spanish (Spanish: [alkaˈθaβa]), which is derived from the same Arabic word. By extension, the term can also refer to a medina quarter, particularly in Algeria. In various languages, the Arabic word, or local words borrowed from the Arabic word, can also refer to a settlement, a fort, a watchtower, or a blockhouse.",No image available,Other Landmark,
ZONE UC' 20,36.6928874,3.1560416,"ZONE UC' 20 is a historic neighborhood in Algiers, known for its narrow streets and traditional architecture. It's a popular area for shopping and dining.",No image available,Local Attraction,4.2
Gare Routière,36.7430507,3.1092389,"The Gare Routière is a major bus station in Algiers, serving as a key transportation hub for the city. It offers connections to various parts of the country and is a popular spot for locals and tourists alike.",No image available,Transportation Hub,4.0
Parc de dely brahim,36.7513153,2.9587191,"Parc de dely brahim is a large public park in Algiers, Algeria, known for its beautiful gardens and walking trails. The park is a popular spot for locals and tourists alike to relax and enjoy the outdoors.",No image available,Park,4.2
Bibliothèque De Bouzareah,36.7712829,3.0107576,"The Bibliothèque De Bouzareah is a historic library located in Algiers, Algeria, known for its stunning architecture and rich cultural heritage. It was built in the 19th century and features a mix of Moorish and Ottoman styles.",No image available,Historic Landmark,4.2
